StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,b01,b02,b03,b03_19_TEXT,b04,b04_5_TEXT,b05,b06,b07,b07_5_TEXT,b08,b08a,b08b,b09,b10,b10a,o01_1,o01_2,o01_3,o01_4,o01_5,o02,o03_1,o03_2,o03_3,a01,a02,a03,a04,a04a,a05_1,a05_2,a05_3,a05_4,ao5a,a06,a07,a08,a09,a10,a10a,a11,a12,a12a,a13,a14_1,a14_2,a14_3,a15_1,a15_2,a15_3,a16_1,a16_2,a16_3,a17_1,a17_2,a17_3,e01_1,e01_2,e01_3,e02,e03_1,e03_2,e03_3
2022-10-12 11:01:34,2022-10-12 11:10:46,IP Address,128.6.37.243,100,552,True,2022-10-12 11:10:47,R_T1aCZgKgBlE6761,,,,,40.5511,-74.4606,anonymous,EN,AR,18-25,940:132:01,,Freshman,,"12 years, elementary-high school","My mom speaks Portuguese at home sometimes, but i'm not fluent",Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,4,,4,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I've been taking spanish forever and wanted to master the language, also it fills out requirements",I learn better face to face than I do over the computer,n/a,Yes,,5 = a lot of practice,5 = a lot of practice,4,5 = a lot of practice,,"Its easier to not get distracted, easier to understand and ask questions",comparing yourself to others around you,You can do it whenever you want and wherever you are,"you don't get the true human interaction to learn properly, and may be sacred to ask questions",Face-to-face,"Being in person allows you to make a better connection with your teacher and the people around you, it makes it feel worth a lot more",I feel it is more valuable to build the human connections rather than through a screen,Niether,,3,4,1 = least anxious,2,1 = least comfortable,5 = most comfortable,3,1 = least communication,5 = most communication,3,4,5 = extremely well,4,5 = extremely useful,4,4,N/A,3,4,3
2022-10-12 11:02:07,2022-10-12 11:11:31,IP Address,128.6.36.114,100,563,True,2022-10-12 11:11:31,R_1rwz5dfYS4LOtQu,,,,,40.488,-74.4544,anonymous,EN,JS,18-25,940:132:01,,Sophomore,,6,N/A,Face-to-face,,No,,,1-5 miles away,Yes,15-20 hours,4,4,1 - least comfortable,2,1 - least comfortable,Yes,5 = readily accessible when I need it,4,3,"I am puerto rican and want to better learn my language. ","It is easier to learn spanish when you are face to face with someone versus just over a textbook. ",,Yes,,3,4,3,3,"Because there is not a lot of opportunity to have listening/ comprehension in class. ","You are able to listen better to the language and practice more effectively. ","You are put on the spot in front of your peers to speak in a language you may not be comfortable in. ","Better ability to manage homework on your own time. ","Takes away the humanistic aspect of learning the language and is more focused on the textbook. ",Face-to-face,"Because you are able to come into class everyday ready to learn. ","You are able to manage your homework more effectively. ",Niether,,2,1 = least anxious,3,2,4,4,4,3,4,4,4,4,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,2,3,3
2022-10-12 11:00:45,2022-10-12 11:12:38,IP Address,128.6.37.22,100,713,True,2022-10-12 11:12:38,R_1pti1YnumuPkNEV,,,,,40.5511,-74.4606,anonymous,EN,CC,18-25,940:132:01,,Freshman,,3 years in high school,no,Face-to-face,,No,,,1-5 miles away,No,,4,4,,4,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,SAS Requirement,I figured taking it in person more would help motivate me more to complete the work and also that in-person listening and speaking would be more beneficial for my learning.,,Yes,,4,4,4,4,,"listening in real time, speaking in-person so you can get feedback right away, have classmates to interact with so you’re not just speaking with a computer",fear of messing up in front of classmates,"can pause and repeat recordings at any time to better understand them, its on your own time",no in-person speaking interactions,Face-to-face,"you have to so that you can participate in class ",you can go at your own pace,Similar,there are pros and cons to both methods of learning,4,2,4,3,4,4,4,2,4,3,3,3,3,5 = extremely useful,4,4,N/A,4,3,3
2022-10-12 11:01:22,2022-10-12 11:12:49,IP Address,128.6.37.25,100,686,True,2022-10-12 11:12:49,R_2EgXMi7KtAlpfad,,,,,40.5511,-74.4606,anonymous,EN,IA,18-25,940:132:01,,Sophomore,,2 years,No,At home,,No,,,16-20 miles away,No,,5 - most comfortable,5 - most comfortable,5 - most comfortable,2,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I wanted to continue to learn and become conversation in my Spanish learning.,"I felt that doing an online class would be beneficial for practicing speaking in person. When I have an online class, it’s not really engaging and beneficial when you need to speak with other people.",,Yes,,4,4,5 = a lot of practice,2,"When it comes to listening to different accents in Spanish, some things I don’t understand easily or get.","Positive aspects of taking face-to-face is that you get to talk to people and your instructor to immerse yourself in the language, an environment where you can learn easily and pick up things than when you practice by yourself.",Negative aspects is that sometimes you might not understand or pressure to be always correct when you don’t understand certain things.,Positive aspects is that you do stuff on your own time and learn at your own pace.,Negative aspects is bad time management and not really getting the normal speaking practice that you need. It feels like you’re studying on your own other than learning the language to speak it.,Face-to-face,"You get to be surrounded with other people who want to learn Spanish and talk with them, make mistakes and learn from it.",Self-study,Niether,,2,1 = least anxious,3,2,5 = most comfortable,4,5 = most comfortable,1 = least communication,5 = most communication,3,1 = Not well at all,3,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,3,5 = great school-life balance
2022-10-12 11:01:24,2022-10-12 11:12:53,IP Address,128.6.37.111,100,688,True,2022-10-12 11:12:53,R_1k1imURGZOoibY7,,,,,40.5511,-74.4606,anonymous,EN,JE,18-25,940:132:01,,Freshman,,5,No,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,5 - most comfortable,1 - least comfortable,5 - most comfortable,1 - least comfortable,Yes,5 = readily accessible when I need it,4,4,I would like to be fluent in Spanish. I believe speaking another language strengthens communication skills and gives me the ability to talk to more people.,I chose to take an in person class because I learn better in person than I do online.,,Yes,,5 = a lot of practice,5 = a lot of practice,4,5 = a lot of practice,,"Positive aspects of taking face-to-face formats of class are the ability to speak to another person in real time, and to listen to Spanish. I think the best way to learn Spanish is to talk to someone else in Spanish.",The only negative aspect I can think of is having to go to a classroom rather than staying at home.,Not having to go to a classroom.,Not being able to communicate with someone face to face.,Face-to-face,It is easier to get distracted when you are not present in the class.,Not that I can think of.,Niether,,1,1 = least anxious,3,2,5 = most comfortable,3,4,2,5 = most communication,4,2,4,3,4,3,5 = extremely useful,Yes,5 = great school-life balance,3,4
2022-10-12 11:00:52,2022-10-12 11:13:00,IP Address,128.6.37.24,100,728,True,2022-10-12 11:13:00,R_2yk09pZsj0jZlPT,,,,,40.5511,-74.4606,anonymous,EN,RS,18-25,940:132:01,,Sophomore,,4 years,no,Face-to-face,,No,,,1-5 miles away,No,,4,3,,3,,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,"I feel that a second language would be very helpful in life, also I want a minor in spanish","I focus better in person ",,Yes,,2,5 = a lot of practice,5 = a lot of practice,2,I just feel I have difficulty understanding someone in spanish and speaking in spanish with no preparation,"better focus, better interactions with classmates, better interaction with the professor",having to physically go to the class and the buses are awful,,,Face-to-face,online classes require less effort in general and I suppose it's a slippery slope,,Niether,,2,1 = least anxious,4,3,5 = most comfortable,2,3,1 = least communication,4,3,1 = Not well at all,5 = extremely well,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,,,
2022-10-12 11:00:50,2022-10-12 11:17:23,IP Address,128.6.37.212,100,993,True,2022-10-12 11:17:24,R_1g6jYvg9AOf53Hc,,,,,40.5511,-74.4606,anonymous,EN,,18-25,940:132:01,,Sophomore,,5 years,Armenian and Turkish,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I had to complete Intermediate Spanish 132 in order to fulfill one of my SASHP requirements. In general, spanish is a common language in America which is why I chose it back in high school.","I think with an in-person class I can learn a lot more. Having a face-to-face conversation with my professor in Spanish is more valuable than one with my computer screen. I can say this with experience because I took an online class during the Spring semester of 2022. ",N/A,Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,"When face-to-face there, the professor can correct something right away and motivate you more compared with talking to yourself on voicethread ","When face-to-face, the course may become too fast paced for some compared to online classes where you go at your own pace more or less.",A positive aspect of taking an online course is going at your own pace,A negative aspect can be a lack of a connection with another person and efficiency.,Face-to-face,Online you can move motivation easily as you can't really communicate with other classmates or the professor as easily.,,Niether,,3,2,3,4,2,5 = most comfortable,3,1 = least communication,5 = most communication,4,2,5 = extremely well,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-12 11:37:11,2022-10-12 11:44:55,IP Address,128.6.37.178,100,463,True,2022-10-12 11:44:55,R_1K12FmooPZotsJx,,,,,40.488,-74.4544,anonymous,EN,HR,18-25,Other:,940:261:01,Freshman,,6 years,Tamil,Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,5 - most comfortable,,,4,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I had to take at least one language class, so I thought I might as well wrap it up during this semester. I started learning Spanish because I had to learn some language, but I continued simply because I was interested in it.",There was no online option,,Yes,,4,5 = a lot of practice,3,4,As of yet we haven't written much other than a few small open-ended responses on homeworks/quizzes,It is much easier to learn and pay attention,Access to certain materials is more difficult,You can easily access numerous materials like grammar/vocab sites,You are less motivated to learn and you are more removed from the instructor,Face-to-face,It is easier to be engaged with the material,,Niether,,3,2,1 = least anxious,1 = least anxious,4,5 = most comfortable,5 = most comfortable,5 = most communication,5 = most communication,5 = most communication,3,5 = extremely well,4,5 = extremely useful,4,4,N/A,4,4,4
2022-10-12 11:46:28,2022-10-12 11:53:42,IP Address,128.6.37.80,100,434,True,2022-10-12 11:53:42,R_3O1VDKAQBZo5XEU,,,,,40.5511,-74.4606,anonymous,EN,Bedros Esendir,18-25,940:132:01,,Sophomore,,5 years,Armenian and Turkish,Face-to-face,,No,,,20+ miles away,No,,,5 - most comfortable,5 - most comfortable,5 - most comfortable,,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,SASHP and Spanish is a common language in America,Face to face has more benefits,,Yes,,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,"Efficiency and communication ",Don’t set your own pace,Can set your own pace more or less,Less efficient and harder to communicate,Face-to-face,Professor there to motivate you,,Niether,,3,2,3,3,3,5 = most comfortable,4,2,5 = most communication,4,2,4,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,5 = great school-life balance,5 = great school-life balance,4
2022-10-12 10:46:22,2022-10-12 14:21:17,IP Address,24.228.178.180,100,12894,True,2022-10-12 14:21:17,R_3Oky89dYu64OXac,,,,,40.5175,-74.3991,anonymous,EN,GE,18-25,Other:,940:132:90,Sophomore,,8 years (middle school-present),No,Face-to-face,,No,,,20+ miles away,Yes,5-10 hours,5 - most comfortable,5 - most comfortable,2,4,,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,It is a requirement for the Honors College.,,"It fit into my schedule better. ",Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,3,,It is easier to focus,You cannot rewind an in person lecture,,,Face-to-face,You are less accountable for yourself.,n/a,Similar,,4,1 = least anxious,4,3,1 = least comfortable,5 = most comfortable,3,5 = most communication,4,4,5 = extremely well,5 = extremely well,5 = extremely well,4,3,4,Yes,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-12 15:07:31,2022-10-12 15:24:53,IP Address,128.6.36.120,100,1041,True,2022-10-12 15:24:53,R_yNLTOvczeF1kdVL,,,,,40.488,-74.4544,anonymous,EN,TD,18-25,940:131:03,,Junior,,2,No,Face-to-face,,Yes,No,,1-5 miles away,No,,4,3,2,2,3,Yes,3,3,3,I want to be fluent in Spanish,I feel as. though i can learn better in a an in person lecture versus an online one,"I’m not taking any online. lectures ",Yes,,2,2,3,3,"Because my parents do not speak Spanish ",You get to engage with the professor and speak the language with your friends. in the class. It helps me understand the language more and be able to speak it.,"The pressure of being able to speak Spanish to your class mates and professor ",Not as much pressure to answer questions correctly.,not as much connection with Professor and other students difficult to understand due to lack of connection and lack of personal conversations.,Face-to-face,because you are personally connected with your professor and classmates.,"Yes, somee students are shy and online learning makes it easier for them to express themselves without having anxiety ",Niether,,3,1 = least anxious,4,3,4,3,3,2,5 = most communication,3,3,4,3,5 = extremely useful,3,4,No,3,2,3
2022-10-12 15:00:04,2022-10-12 15:47:22,IP Address,128.6.37.24,100,2837,True,2022-10-12 15:47:22,R_247ZGg9AiK4VyaA,,,,,40.5511,-74.4606,anonymous,EN,AP,18-25,940:131:03,,Freshman,,"Since elementary school, about 10 years ","Yes. Tamil & Telugu ",Face-to-face,,No,,,1-5 miles away,No,,4,4,2,2,3,No,5 = readily accessible when I need it,4,4,"I was required to take language courses as part of SASHP. However, I want to learn another language as well.",I thought I would be able to talk to the professor and ask questions easier. I would do more in class work and could ask questions as I do the work.,N/A,Yes,,3,3,3,2,"we usually learn in class rather than practice ","practicing with peers, and asking questions with the professors. ","Expected to know more stuff and more preparation is needed ",taking a class from the comfort of home,unable to practice with peers or ask pertinent questions,Face-to-face,held more accountable,no,Niether,,3,,4,,,3,,3,3,3,4,4,4,4,3,3,Yes,3,4,3
2022-10-12 15:37:58,2022-10-12 15:54:54,IP Address,128.6.37.32,100,1016,True,2022-10-12 15:54:55,R_1K9hL6Hbb8YNQt2,,,,,40.5511,-74.4606,anonymous,EN,AP,18-25,940:131:03,,Freshman,,4,No.,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,4,1 - least comfortable,1 - least comfortable,3,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I need to take it for the Honors College. I wanted to learn Spanish because it would have the most practical use in my life. ","The only classes available when I signed up were in person. ",,Yes,,5 = a lot of practice,3,4,2,"I would like to do more reading practice in class (like with partners) because on VHL there is reading but it’s really overwhelming and I feel like partner reading in class would be more effective. And we’ve listened to songs, which are helpful but occasional listening practice that is similar to the listening exam would be helpful. ","You get to work with classmates. ","I’m too nervous to speak in Spanish in person and I often don’t ask my questions in person because I’m too nervous/don’t know how to say them in Spanish. I think this could be changed by just having some sort of online device to type questions into website thing that the teacher can see. A similar device was used at my orientation and I found it helpful to ask questions that I was too nervous to say in front of everyone.  ","Easier to ask questions to the teachers, the language seems less daunting/intimidating. ","You kind of have to teacher yourself out of a book, which is hard because a piece of paper can’t teach as well as a real person. ",Face-to-face,"Nobody check on you really in an online class so it’s sometimes hard to stay on top of the work. ","It was easier for me to speak Spanish when everyone isn’t looking at me or when I feel pressure from the teacher or the class. ",Niether,,3,1 = least anxious,5 = most anxious,3,5 = most comfortable,3,4,3,3,3,2,2,3,4,4,2,Yes,4,3,4
2022-10-12 15:53:34,2022-10-12 15:59:07,IP Address,128.6.37.79,100,332,True,2022-10-12 15:59:07,R_11bHVBJugttGeX7,,,,,40.5511,-74.4606,anonymous,EN,SJ,18-25,940:131:03,,Freshman,,3 years,hindi,Face-to-face,,Yes,Yes,not as engaging,10-15 miles away,No,,4,5 - most comfortable,1 - least comfortable,1 - least comfortable,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,an honors requirement,"easier to learn, more engaging",,Yes,,5 = a lot of practice,2,3,2,"we just focus mainly on speaking ","more engaging, get to connect with professor, way easier to learn spanish","in person exams, can't use google translate",ability to not have to commute to class,not as engaging and harder to learn spanish,Face-to-face,way more engaging as you can connect with peers and professor,,Niether,,2,5 = most anxious,4,2,1 = least comfortable,4,3,2,5 = most communication,3,2,4,2,4,2,3,No,3,3,3
2022-10-12 15:47:38,2022-10-12 16:00:03,IP Address,69.122.19.236,100,745,True,2022-10-12 16:00:04,R_1dbR9sT00c7lrTx,,,,,40.5802,-74.3594,anonymous,EN,NA,18-25,940:132:90,,Junior,,7,"yes, urdu",Face-to-face,,No,,,20+ miles away,Yes,0-5 hours,5 - most comfortable,3,,3,,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,"i want to pursue a medical career in the future, so i think learning spanish would be beneficial ",,the in person classes were either during my other classes or really late at night,Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,it is easier to learn in person,i dont think there are any negative aspects,"i can work at my own pace ",it is hard to learn by myself,Face-to-face,because i can see the other motivated students,im not sure,Similar,,5,4,5 = most anxious,4,5 = most comfortable,3,3,5 = most communication,5 = most communication,5 = most communication,3,4,4,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,3,3,3
2022-10-12 16:08:04,2022-10-12 16:24:37,IP Address,128.6.36.128,100,992,True,2022-10-12 16:24:37,R_YbpPH7bCIDcpepz,,,,,40.5511,-74.4606,anonymous,EN,EP,18-25,940:131:03,,Sophomore,,Including before Rutgers: 12 school years +1 college semester,No,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,5 - most comfortable,1 - least comfortable,1 - least comfortable,3,No,5 = readily accessible when I need it,4,5 = readily accessible when I need it,My current partner and their family are Hispanic and I want to communicate better with them.,"In person classes are more helpful to me as a student, especially when learning a language because I can hear how the words are supposed to sound, ask tons of questions, and talk with other students without having that robotic feeling attached to it.",N/A,Yes,,4,3,3,4,"I think there have been many opportunities, but I still don't feel confident in those abilities and would like more practice without a grade relying on it.",I get to practice talking with somebody who actually knows the language in real time and hearing the language as well. And I am reassured by my classmates who are also struggling with the language.,"There is a very limited class time and if the lesson isn't completed by the time class is over, the rest of the lesson gets swept under the rug.","I haven't taken an online Spanish class, but I would think being a visual learner, getting to see all the rules and formats spelled out in front of me would be helpful. In the in-person class, our professor doesn't write on the board much unless we ask.","I haven't taken an online Spanish class, but I would think it is harder to get questions answered.",Face-to-face,"There are other students in the class, and especially since it is a smaller class, they notice when I miss class and I can ask if they know the answer when I don't. ","I don't take as many notes as I maybe could because I am focused on listening and being present, so in an online class, I would probably take more notes to study with.",Similar,I think it really really REALLY depends on the person and their study and learning styles.,2,4,2,2,4,3,3,2,2,3,1 = Not well at all,3,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,3,4,5 = great school-life balance
2022-10-12 16:15:25,2022-10-12 16:24:38,IP Address,128.6.37.148,100,553,True,2022-10-12 16:24:39,R_VUYBn2VNhrDBKJX,,,,,40.5511,-74.4606,anonymous,EN,NK,18-25,940:131:03,,Freshman,,5,No,Face-to-face,,Yes,No,,1-5 miles away,Yes,0-5 hours,3,4,,,2,Yes,5 = readily accessible when I need it,2,5 = readily accessible when I need it,Honors College requirement,There were no online classes,N/a,Yes,,4,5 = a lot of practice,2,2,Because the resources to do so and to see if I am doing it correct are not there,You get to interact with classmates and the teacher better,Some of the hours can be annoying,Accessible anywhere,Less talking with classmates and teacher,Face-to-face,"I’m not sure ",Duolingo,More efficient,Work can be self paced and you are in the comfort of your own home,3,2,3,2,4,3,3,2,5 = most communication,4,1 = Not well at all,2,2,4,3,4,Yes,3,3,3
2022-10-12 16:44:46,2022-10-12 16:51:30,IP Address,128.6.147.104,100,403,True,2022-10-12 16:51:30,R_2t5y22aC233Or4Z,,,,,40.5511,-74.4606,anonymous,EN,AS,18-25,940:131:01,,Freshman,,"3 years in highschool, none in college until now",no,Face-to-face,,No,,,1-5 miles away,No,,4,5 - most comfortable,,,4,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,SAS Honors program requirement,"Being in person forces me to pay at least some attention to class , online is far easy to not learn in",,Yes,,5 = a lot of practice,4,4,4,,Quick and easy feedback and conversations with peers and professor,You have to get to the class,"You can take the class anywhere, as long as there is internet",easier to not learn anything and cheat on homework / in class work and then fail tests due to lack of actual Spanish skill,Online,You can see your peers working and you don't want to fall behind / you want to be able to participle in class,,Niether,,4,2,2,2,5 = most comfortable,5 = most comfortable,5 = most comfortable,3,5 = most communication,4,3,5 = extremely well,4,4,4,3,N/A,4,4,4
2022-10-12 19:20:59,2022-10-12 19:31:32,IP Address,174.206.234.208,100,633,True,2022-10-12 19:31:33,R_1DUSU6dkCqpZNja,,,,,40.7355,-74.3253,anonymous,EN,RP,18-25,940:131:03,,Junior,,1 year/ 2 semesters,"Yes, Malayalam",Online,,No,,,20+ miles away,Yes,5-10 hours,5 - most comfortable,5 - most comfortable,,,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,4,"I plan on going into the medical field and speaking Spanish is an important skill to have. Additionally I am in the Honors College and I have a language requirement. I decided to study Spanish due to my career plans and this started studying Spanish from the 101 level because I have never taken Spanish in high school. ","More opportunity to speak in Spanish in a more spontaneous classroom structure vs rigid online structure. Opportunity to have better access to my professor in an in person setting. ",,Yes,,4,4,5 = a lot of practice,3,"I would like to have more listening practice because it is something I struggle with. ","Having classmates to bond with, direct interactions with your profess Who is now more accessible. An environment that forces you to participate and speak the language. ","Class timings were hard to fit into my schedule ",,,Face-to-face,"Face to face is harder and requires more work from the student which forces the student to actually learn the material and be prepared for class ",,Niether,,3,1 = least anxious,4,3,4,3,3,2,5 = most communication,3,4,5 = extremely well,5 = extremely well,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,2,3
2022-10-12 20:25:18,2022-10-12 20:34:33,IP Address,128.6.37.26,100,554,True,2022-10-12 20:34:33,R_3EOeWEoMfMn3QYh,,,,,40.5511,-74.4606,anonymous,EN,JY,18-25,940:131:03,,Sophomore,,1 semester in college,"Yes, Korean",Face-to-face,,No,,,1-5 miles away,Yes,10-15 hours,4,5 - most comfortable,2,1 - least comfortable,3,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,I love learning languages,I can't focus during online classes,,Yes,,3,2,2,3,I just have to immerse myself more but it's difficult to set aside time for that.,Being able to talk to one another in the class,"Having to attend each class, especially when there are extraneous circumstances that may affect your ability to attend",None,Everything,Face-to-face,"Psychologically, it is easier to connect with someone in person rather than through a screen",Maybe just the ability to record the meetings,Niether,,1,5 = most anxious,1 = least anxious,4,1 = least comfortable,5 = most comfortable,2,1 = least communication,5 = most communication,2,1 = Not well at all,4,2,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,1 = not a good school-life balance,4,3
2022-10-12 20:43:20,2022-10-12 21:01:04,IP Address,74.105.235.43,100,1063,True,2022-10-12 21:01:04,R_1Gw67kCWPHfq0Uv,,,,,40.4992,-74.4996,anonymous,EN,LL,18-25,940:132:90,,Senior,,"2 semesters in college; k-10 ",no,Online,,No,,,1-5 miles away,Yes,20 + hours,5 - most comfortable,5 - most comfortable,5 - most comfortable,3,,Yes,5 = readily accessible when I need it,4,4,I needed two take two intermediate language courses for my minor,,I work a lot and i need the flexibility that an online course offers,No,"Its my fault, I have not alloted the proper amount of time to it to absorb the information",5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,2,I have not done a lot of practice listening because only 1-2 online activities per practice questions involve listening,"accountability, participation",lack of flexibility,flexibility and the ability to do at my own pace,solitary learning experience,Face-to-face,because a face-to-face class requires accountability,utilizes different mediums and integrates learning experience with tech,Similar,,3,1 = least anxious,5 = most anxious,3,5 = most comfortable,1 = least comfortable,3,3,5 = most communication,4,5 = extremely well,1 = Not well at all,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,4,1 = not a good school-life balance,3
2022-10-13 09:02:18,2022-10-13 09:06:02,IP Address,128.6.37.70,100,223,True,2022-10-13 09:06:03,R_bqRc6ZQo2TX5A3f,,,,,40.5511,-74.4606,anonymous,EN,SJ,18-25,940:131:03,,Freshman,,3 years,hindi,Online,,No,,,10-15 miles away,No,,4,5 - most comfortable,1 - least comfortable,1 - least comfortable,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,honors requirement to be proficient in a language,"more engaging, able to connect better with professor, way easier to learn spanish",,Yes,,5 = a lot of practice,4,2,1 = none at all,we focus mainly on speaking,"more engaging, able to connect better, easier to learn","in person exams ","can use translate, don't have to physically commute to class","not easy to learn, not as engaging ",Face-to-face,"more engaging and no distractions ",,Niether,,2,2,5 = most anxious,2,1 = least comfortable,5 = most comfortable,2,1 = least communication,5 = most communication,3,3,5 = extremely well,3,5 = extremely useful,2,4,N/A,4,4,2
2022-10-13 12:22:31,2022-10-13 12:30:49,IP Address,128.6.37.84,100,498,True,2022-10-13 12:30:50,R_3G82TvsxYyE4Vxx,,,,,40.5511,-74.4606,anonymous,EN,KR,18-25,940:131:01,,Freshman,,"3 years ",I do not,Face-to-face,,No,,,16-20 miles away,No,,4,3,2,2,4,No,5 = readily accessible when I need it,3,4,"I am enrolled in the Honors Program here at Rutgers so it is a requirement, but for my job I think learning Spanish could b useful.","I like learning in person especially for Spanish class because spanish has always been a tougher subject for me, so learning in person helps.",,Yes,,3,2,3,2,I think my class focuses a lot on grammar and writing so I think listening is hard to learn.,"Better connection with teacher and one on one time. ",Larger class may feel daunting.,Have the ability to use online sources to learn.,Less one on one connection/in-person connection.,Face-to-face,Online is easier to slack off because the teacher may not know whether you are paying attention or not.,Not necessarily,Niether,,2,4,2,3,2,4,3,2,4,3,2,4,3,4,3,4,N/A,3,3,3
2022-10-13 10:16:16,2022-10-13 12:35:05,IP Address,128.6.37.6,100,8329,True,2022-10-13 12:35:06,R_eWDpPuDZFMmswEh,,,,,40.5511,-74.4606,anonymous,EN,Alessandro Barlotta,18-25,940:131:01,,Sophomore,,3 Semesters in High school,No,Face-to-face,,No,,,16-20 miles away,No,,5 - most comfortable,5 - most comfortable,,,5 - most comfortable,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I wanted to learn Spanish because it applies to the medical field. If I have a Spanish speaking patient as a doctor, I would like to effectively communicate with them.",I would rather take Spanish in person because I like the professor/student interaction and it keeps me motivated.,,Yes,,4,4,4,4,,Being able to interact with the professor and learning together with other students.,There are not many negative aspects in my opinion.,"Being able to focus in the comfort of one's home. ","Not being able to learn with other students, getting distracted, less speaking interaction.",Face-to-face,Because I want to participate and the professor and other students are around me prevent me from getting distracted.,Not having to commute from class to class and waste time taking buses.,Niether,,3,4,4,4,2,5 = most comfortable,3,2,5 = most communication,3,4,3,4,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,4,4,4
2022-10-13 12:36:09,2022-10-13 12:45:42,IP Address,128.6.37.50,100,573,True,2022-10-13 12:45:43,R_29fSPnlTQAavyR8,,,,,40.5511,-74.4606,anonymous,EN,DB,18-25,940:132:90,,Sophomore,,10 years,No,Face-to-face,,No,,,10-15 miles away,Yes,5-10 hours,5 - most comfortable,5 - most comfortable,2,3,,No,5 = readily accessible when I need it,4,3,"It is a requirement to take 2 semesters of a language for the SASHP. ",,"I have never liked taking spanish, so taking it online allowed me to avoid the pain of taking it in person.",Yes,,3,3,3,3,"I don't think there's been enough speaking practice ","In person practice ",Having to go to class weekly,Independence and completing assignments on your own time,Lack of face-to-face time with the professor,Online,I can work independently and hold myself accountable,Being able to use outside resources while completing the assignments (like WordReference),More efficient,"independence ",3,1 = least anxious,5 = most anxious,4,5 = most comfortable,1 = least comfortable,3,5 = most communication,5 = most communication,5 = most communication,5 = extremely well,1 = Not well at all,1 = Not well at all,3,3,3,N/A,3,3,3
